,Unnamed: 0,user_id,username,date,Tweet
54,54,993198896284295168,KaterinaKwari.#JokowiMaruf2019/24,Tue Mar 05 02:48:01 +0000 2019,"['fahrihamzah', 'jokowi', 'yg', 'mintakan', 'kalian', 'doangrakyatvyg', '200', 'juta', 'jiwa', 'pak', 'jkw', 'ingin', 'tetap', 'kerjatolol', 'kau', 'dower']"
55,55,406047582,Yusuf Fauzi,Tue Mar 05 02:47:32 +0000 2019,"['dih', 'tolol', 'httpstco6ijo0zr5nb']"
56,56,1620112339,nata / 🦋,Tue Mar 05 02:47:21 +0000 2019,['tolol']
57,57,1027147372042670080,fransiska tumbelaka,Tue Mar 05 02:46:59 +0000 2019,"['pdkng', 'jenderal', 'kardus', 'n', 'jenderal', 'baper', 'kampret', 'ngak', 'malu', 'bahas', 'hutang', 'lah', 'sang', 'jenderal', 'sj', 'byk', 'hutang', 'pribadi', 'kengr', 'kok', 'ngak', 'pd', 'ngaca', 'sih', 'ya', 'pdkngnya', 'duh', 'tolol', 'banget', 'bahkan', 'ktnya', 'karyawannya', 'sj', 'blm', 'digaji', 'kok', 'mlh', 'mau', 'mensejahterakan', 'buruh', 'ktnya', 'ngakak', 'guling2', 'jokowi2periode']"
58,58,1027085369139847168,sosial freedom,Tue Mar 05 02:46:58 +0000 2019,"['pdkng', 'jenderal', 'kardus', 'n', 'jenderal', 'baper', 'kampret', 'ngak', 'malu', 'bahas', 'hutang', 'lah', 'sang', 'jenderal', 'sj', 'byk', 'hutang', 'pribadi', 'kengr', 'kok', 'ngak', 'pd', 'ngaca', 'sih', 'ya', 'pdkngnya', 'duh', 'tolol', 'banget', 'bahkan', 'ktnya', 'karyawannya', 'sj', 'blm', 'digaji', 'kok', 'mlh', 'mau', 'mensejahterakan', 'buruh', 'ktnya', 'ngakak', 'guling2', 'jokowi2periode']"
59,59,1027150561513070593,Dinar Ginanti,Tue Mar 05 02:46:57 +0000 2019,"['pdkng', 'jenderal', 'kardus', 'n', 'jenderal', 'baper', 'kampret', 'ngak', 'malu', 'bahas', 'hutang', 'lah', 'sang', 'jenderal', 'sj', 'byk', 'hutang', 'pribadi', 'kengr', 'kok', 'ngak', 'pd', 'ngaca', 'sih', 'ya', 'pdkngnya', 'duh', 'tolol', 'banget', 'bahkan', 'ktnya', 'karyawannya', 'sj', 'blm', 'digaji', 'kok', 'mlh', 'mau', 'mensejahterakan', 'buruh', 'ktnya', 'ngakak', 'guling2', 'jokowi2periode']"
60,60,1025278791730380805,Hans Fuji,Tue Mar 05 02:46:28 +0000 2019,"['pdkng', 'jenderal', 'kardus', 'n', 'jenderal', 'baper', 'kampret', 'ngak', 'malu', 'bahas', 'hutang', 'lah', 'sang', 'jenderal', 'sj', 'byk', 'hutang', 'pribadi', 'kengr', 'kok', 'ngak', 'pd', 'ngaca', 'sih', 'ya', 'pdkngnya', 'duh', 'tolol', 'banget', 'bahkan', 'ktnya', 'karyawannya', 'sj', 'blm', 'digaji', 'kok', 'mlh', 'mau', 'mensejahterakan', 'buruh', 'ktnya', 'ngakak', 'guling2', 'jokowi2periode']"
61,61,1211173165,carlote,Tue Mar 05 02:46:12 +0000 2019,"['tclols', 'emg', 'berlebihan', 'tolol']"
62,62,591819623,bica,Tue Mar 05 02:46:03 +0000 2019,"['muthiastp', 'tolol', 'itu', 'klo', 'aku', 'lg', 'kenyang', 'bgt']"
63,63,585475149,JRizki,Tue Mar 05 02:45:57 +0000 2019,"['rt', 'ahjusi', 'uusbiasaaja', 'agama', 'ku', 'asik', 'cuman', 'orang', 'nya', 'aja', 'banyak', 'yang', 'tolol']"
